Location (v2),Description
custom.workflow.auto_closed_at,Timestamp in milliseconds (UTC (Coordinated Universal Time)) when the finding was automatically closed by the system.
custom.workflow.due_date,Describes the due date rule applied to this finding.
custom.workflow.due_date.due_at,Timestamp in milliseconds (UTC (Coordinated Universal Time)) when the finding must be resolved.
custom.workflow.due_date.is_overdue,"True if the due date was reached, false otherwise."
custom.workflow.due_date.rule_id,Unique identifier for the due date rule applied to this finding.
custom.workflow.mute,Contains muting information and metadata.
custom.workflow.mute.is_muted,"Indicates whether the finding is currently muted. True means the finding is muted, false means it is active."
custom.workflow.mute.reason,"Reason provided for muting the finding. Possible values: none, no pending fix, human error, no longer accepted risk, other, pending fix, false positive, accepted risk, no fix, duplicate, risk accepted."
custom.workflow.mute.description,Free-text explanation for why the finding was muted.
custom.workflow.mute.expire_at,"Timestamp in milliseconds (UTC (Coordinated Universal Time)) when the mute expires. If not set, the mute is permanent."
custom.workflow.mute.is_muted_by_rule,"Indicate if the finding is muted by an automation rule. If true, the relevant automation rule is referenced in the workflow.automation section."
custom.workflow.mute.rule_id,Unique identifier for the automation rule that muted this finding. Only set when is_muted_by_rule is true.
custom.workflow.mute.rule_name,Human-readable name of the automation rule that muted this finding. Only set when is_muted_by_rule is true.
custom.workflow.mute.muted_at,Timestamp in milliseconds (UTC (Coordinated Universal Time)) when the finding was muted.
custom.workflow.mute.muted_by,User who muted the finding.
custom.workflow.mute.muted_by.id,Unique identifier in UUID format for the user who muted the finding.
custom.workflow.mute.muted_by.name,Display name of the user who muted the finding.
custom.workflow.automations,Contains data of automation rules applying on the finding.
custom.workflow.automations.rule_id,Unique identifier for the automation rule.
custom.workflow.automations.rule_type,"Type of the automation rule applying on the finding. Possible values: mute, due_date, security_inbox."
custom.workflow.automations.rule_name,Human-readable name of the automation rule applying on the findings.
custom.workflow.integrations,"Base information for integrations like Jira, Case management and/or ServiceNow, used to triage the finding. Relates to how the finding is managed by customers, in order to track and remediate."
custom.workflow.integrations.cases,Contains an array of cases attached to the finding.
custom.workflow.integrations.cases.id,Unique identifier of the case in UUID format.
custom.workflow.integrations.cases.key,"Human-readable identifier for the case in the format PROJECT-NUMBER (for example, CSMINV-66)."
custom.workflow.integrations.cases.title,Title of the case.
custom.workflow.integrations.cases.status,Status of the case.
custom.workflow.integrations.cases.assignee,User assigned to the case (if any).
custom.workflow.integrations.cases.assignee.id,Unique identifier of the assigned user in UUID format.
custom.workflow.integrations.cases.assignee.name,Display name of the assigned user.
custom.workflow.integrations.cases.jira_issue,Jira issue attached to the case (if any).
custom.workflow.integrations.cases.jira_issue.key,"Jira issue identifier in the format PROJECT-NUMBER (for example, CSMSEC-103991)."
custom.workflow.integrations.cases.jira_issue.url,Full URL to the Jira issue.
custom.workflow.integrations.cases.jira_issue.status,Current status of the Jira issue.
custom.workflow.integrations.cases.created_at,Timestamp in milliseconds (UTC (Coordinated Universal Time)) when the case was created.
custom.workflow.integrations.cases.created_by,User who created the case.
custom.workflow.integrations.cases.created_by.id,Unique identifier in UUID format of the user who created the case.
custom.workflow.integrations.cases.created_by.name,Display name of the user who created the case.
custom.workflow.integrations.cases.updated_at,Timestamp in milliseconds (UTC (Coordinated Universal Time)) when the case was last updated.
custom.workflow.integrations.cases.updated_by,User who last updated the case.
custom.workflow.integrations.cases.updated_by.id,Unique identifier in UUID format of the user who last updated the case.
custom.workflow.integrations.cases.updated_by.name,Display name of the user who last updated the case.
custom.workflow.integrations.jira,"List of Jira issue keys attached to this finding in the format PROJECT-NUMBER (for example, [""PROJ-123"", ""PROJ-456""])."
custom.workflow.integrations.pull_requests,List of pull requests used to remediate this finding. Each entry contains metadata about a pull request in a source control system.
custom.workflow.integrations.pull_requests.created_by,User who created the pull request.
custom.workflow.integrations.pull_requests.created_by.id,Unique identifier in UUID format of the user who created the pull request.
custom.workflow.integrations.pull_requests.created_by.name,Display name of the user who created the pull request.
custom.workflow.integrations.pull_requests.host_name,Domain name of the source control system hosting the pull request.
custom.workflow.integrations.pull_requests.organization_name,Name of the organization or group in the source control system.
custom.workflow.integrations.pull_requests.repository_name,Name of the repository containing the pull request.
custom.workflow.integrations.pull_requests.url,Full URL to the pull request in the source control system.
custom.risk,Groups risk-related attributes for the finding. Each key must have a matching key in the risk_details namespace.
custom.risk.has_sensitive_data,True is the finding has access to a resource that contains sensitive data (for example an S3 bucket). The field can be missing when this information is unknown.
custom.risk.is_function_reachable,True if the vulnerable function may be executed.
custom.risk.is_exposed_to_attacks,True if attacks have already been detected on this resource. Those attacks may be unrelated to the finding but indicates a higher likelyhood of facing threats.
custom.risk.has_privileged_access,True if the finding's resource is running with elevated privileges (for example administrator) or has the ability to assume a privileged role.
custom.risk.is_production,True if the finding's resource is running in production. This is detected through the `env` [tag](/getting_started/tagging/).
custom.risk.is_publicly_accessible,"True if the finding's resource is publicly accessible. For instance a host with a public IP and open ports, or a publicly accessible S3 bucket."
custom.risk.has_exploit_available,True if known exploits exist for this finding.
custom.risk.has_high_exploitability_chance,True if the vulnerability is likely to be exploited. This is set if the FIRST EPSS score (Exploit Prediction Scoring System) is above 1%.
custom.risk.is_tainted_from_request_url,"True if the final URL contains tainted parts originating from the request URL, which may lower the risk due to typical framework validation (for example Java Spring)."
custom.risk.is_tainted_from_query_string,True if the problematic string contains elements derived from an HTTP query string.
custom.risk.is_tainted_from_database,True if the string is tainted due to originating from an untrusted database source.
custom.risk.is_using_sha1,"True if SHA1 is used in a weak hash, which reduces the risk score due to its security being stronger than algorithms like MD5."
custom.risk_details,"Groups contextual risk factors that help assess the potential impact of a finding. These fields describe characteristics like exposure, sensitivity, and signs of active exploitation. All findings should have their risk reported here. if a risk is not significant enough to impact the score, it may be placed somewhere else. The name of each key must explicitely show the boolean nature of the risk (typically prefixed with is_ or has_). Though, a risk might be undefined (for instance, we can't tell fi a service is under attack if the users don't have APM nor AAP). Each item of risk_details must be accompanied by a top level boolean risk item enabling to easily search for a specific risk."
custom.risk_details.has_sensitive_data,Groups evidence and indicators about whether the affected resource has sensitive data.
custom.risk_details.has_sensitive_data.impact_cvss,"Describes how sensitive data presence changes the CVSS score. Possible values: `riskier`, `neutral`, `safer`, `unknown`. For instance considering a vulnerability theoretically exploitable through internet: - `safer`: the impacted resource is on a private network, requiring the attacker to be on this private network rather than on the internet. - `neutral`: if the impacted resource has an actual internet access. - `unknown`: we cannot detect network related information on the impacted resource or about the vulnerability."
custom.risk_details.has_sensitive_data.value,Same as `risk.has_sensitive_data`.
custom.risk_details.has_sensitive_data.evidence,Evidence supporting the presence of sensitive data.
custom.risk_details.has_sensitive_data.evidence.sds_id,ID of a sensitive data entry such as discover by Datadog Sensitive Data Scanning.
custom.risk_details.is_function_reachable,Groups evidence and indicators about whether the vulnerable function or module is used in the code.
custom.risk_details.is_function_reachable.impact_cvss,"Describes how function reachability changes the CVSS risk assessment. Valid values: riskier, neutral, safer, unknown."
custom.risk_details.is_function_reachable.value,True if the function is reachable.
custom.risk_details.is_function_reachable.evidence,Describes the evidence used to determine whether the function is reachable.
custom.risk_details.is_function_reachable.evidence.locations,"Array of CodeLocation items (the filename, line, column, and symbol fields are required)."
custom.risk_details.is_exposed_to_attacks,Is the service where the finding was detected exposed to attacks?.
custom.risk_details.is_exposed_to_attacks.impact_cvss,Describes how the resource's exposure affects the CVSS scoring.
custom.risk_details.is_exposed_to_attacks.value,Same as `risk.is_exposed_to_attacks`.
custom.risk_details.is_exposed_to_attacks.evidence,Evidences for the presence of attacks.
custom.risk_details.is_exposed_to_attacks.evidence.trace_example,Example of a trace with attacks detected on the finding's resource.
custom.risk_details.is_exposed_to_attacks.evidence.trace_query,Query used to find traces with attacks related to the resource associated with the finding.
custom.risk_details.is_exposed_to_attacks.evidence.attacks_details,Details about one of the detected attacks.
custom.risk_details.has_privileged_access,Object describing further detail about custom.risk.has_privileged_access.
custom.risk_details.has_privileged_access.impact_cvss,Describes how privileged access changes the CVSS scoring.
custom.risk_details.has_privileged_access.value,True if the resource associated with the finding has privileged access.
custom.risk_details.has_privileged_access.evidence,Object of unknown shape showing proof of the Privileged Access.
custom.risk_details.has_privileged_access.evidence.resource_key,Canonical Cloud Resource Identifier with proof of the Privileged Access (i.e. an aws_iam_policy CCRID).
custom.risk_details.is_production,Groups evidence and indicators about whether the resource associated with the finding is running in a production environment.
custom.risk_details.is_production.impact_cvss,"How is this affecting the CVSS scoring? Typically, if `in_production=true`, the CVSS risk impact is `neutral`, and if `in_production=false`, the CVSS risk impact is `safer`."
custom.risk_details.is_production.value,Same as `risk.is_production`.
custom.risk_details.is_production.evidence,The `env` value triggering the conclusion for `is_production`.
custom.risk_details.is_publicly_accessible,Groups information about whether the affected resource is accessible from the public internet.
custom.risk_details.is_publicly_accessible.impact_cvss,"How is this affecting the CVSS scoring? Possible values: `riskier`, `neutral`, `safer`, `unknown`. For instance, a resource with an exploitability exploitable through internet was detected on a private network. Hence the CVSS impact on risk is `safer`. Though, if this resource had an actual internet access, the CVSS impact on risk would be `neutral`."
custom.risk_details.is_publicly_accessible.value,Equals custom.risk.is_publicly_accessible (may change to enum in future).
custom.risk_details.is_publicly_accessible.evidence,Object of unknown shape showing proof of access from the internet.
custom.risk_details.is_publicly_accessible.evidence.resource_key,CCRID of the resource accessible from the internet (i.e an AWS ELBv2 ARN).
custom.risk_details.has_exploit_available,Groups information about whether a known exploit exists for this finding advisory.
custom.risk_details.has_exploit_available.impact_cvss,Describes how the availability of known exploits changes the CVSS scoring.
custom.risk_details.has_exploit_available.value,True if known exploits exist for this finding.
custom.risk_details.has_exploit_available.evidence,Provides evidence about the exploit availability.
custom.risk_details.has_exploit_available.evidence.type,"Type of evidence. Valid values: `production_ready`, `poc`, `unavailable`."
custom.risk_details.has_exploit_available.evidence.exploit_urls,Lists exploit urls entries associated with the finding.
custom.risk_details.has_exploit_available.evidence.exploit_sources,"Lists exploit sources entries associated with the finding. (i.e. NIST, CISA, Exploit-DB)."
custom.risk_details.has_high_exploitability_chance,Is the vulnerability likely to be exploited. Derived from EPSS.
custom.risk_details.has_high_exploitability_chance.impact_cvss,Describes how the availability of known exploits changes the CVSS scoring.
custom.risk_details.has_high_exploitability_chance.value,"True if this vulnerability is assessed as having a high chance of exploitation (EPSS above 1%), false otherwise."
custom.risk_details.has_high_exploitability_chance.evidence,Object providing the evidence of the EPSS score.
custom.risk_details.has_high_exploitability_chance.evidence.epss_score,"FIRST EPSS score (first.org Exploit Prediction Scoring System), a percentage representing the chance of exploitation."
custom.risk_details.has_high_exploitability_chance.evidence.epss_severity,"EPSS score severity, valid values are Critical/High/Medium/Low, being Critical any vulnerability with a high chance of exploitation."
custom.risk_details.is_tainted_from_request_url,Groups information about whether the tainted parts originating from the request URL.
custom.risk_details.is_tainted_from_request_url.impact_cvss,Describes how it changes the CVSS scoring.
custom.risk_details.is_tainted_from_request_url.value,"True if the final URL contains tainted parts originating from the request URL, which may lower the risk due to typical framework validation (for example Java Spring)."
custom.risk_details.is_tainted_from_query_string,Groups information about whether the tainted parts originating from a query string.
custom.risk_details.is_tainted_from_query_string.impact_cvss,Describes how it changes the CVSS scoring.
custom.risk_details.is_tainted_from_query_string.value,True if the problematic string contains elements derived from an HTTP query string.
custom.risk_details.is_tainted_from_database,Groups information about whether the tainted parts originating from a database.
custom.risk_details.is_tainted_from_database.impact_cvss,Describes how it changes the CVSS scoring.
custom.risk_details.is_tainted_from_database.value,True if the string is tainted due to originating from an untrusted database source.
custom.risk_details.is_using_sha1,Groups information about whether SHA1 is used in a weak hash.
custom.risk_details.is_using_sha1.impact_cvss,Describes how it changes the CVSS scoring.
custom.risk_details.is_using_sha1.value,"True if SHA1 is used in a weak hash, which reduces the risk score due to its security being stronger than algorithms like MD5."
custom.risk_details.has_high_exploitability_chance.evidence.threshold,Defines the minimum EPSS score required for a vulnerability to be considered as having a high exploitability chance when has_high_exploitability_chance is set to true.
custom.rule,"A rule indicates how to discover a vulnerability. For instance, the rule python-flask/ssrf-requests describes how to find some kinds of SSRF in Python code. Vulnerability findings with rules mean that the vulnerability was spotted either in your source code, or in running code. Rules are also used for non-vulnerability findings such as misconfigurations or API security."
custom.rule.type,Contains the type of the rule that generated the finding.
custom.rule.name,Contains the name of the rule that generated the finding.
custom.rule.id,Contains the id of the rule that generated the finding.
custom.rule.version,Indicates the version of the rule that generated the finding.
custom.rule.default_rule_id,Contains the default rule id of the rule. Custom rules will not have default rule ids.
custom.advisory,"An advisory ties a vulnerability to a set of specific software versions. For instance, CVE-2021-44228 indicates that Log4j2 versions 2.0-beta9 through 2.15.0 are vulnerable to injection. Vulnerability findings with advisories mean that a vulnerable version of the software was detected (typically through SBOMs)."
custom.advisory.id,"Represents the internal ID of the field, and should not be exposed publicly."
custom.advisory.cve,"Represents the primary, globally recognized identifier for a security vulnerability, following the CVE-YYYY-NNNN format."
custom.advisory.aliases,"Contains the additional identifiers referring to the same vulnerability, created by other entities."
custom.advisory.published_at,Timestamp in milliseconds (UTC (Coordinated Universal Time)) of when the advisory was published.
custom.advisory.modified_at,Timestamp in milliseconds (UTC (Coordinated Universal Time)) of when the advisory was last updated.
custom.advisory.summary,A short summary of the advisory.
custom.advisory.type,"Specifies the type of the advisory. Possible values are component_with_known_vulnerability, unmaintained, end_of_life, dangerous_workflows, risky_license, and malicious_package."
custom.vulnerability,The vulnerability namespace contains information specific to vulnerabilities.
custom.vulnerability.cwes,"CWE (Common Weakness Enumeration) identifier associated with this vulnerability. Each entry must use the CWE-<id> format, for example CWE-416."
custom.vulnerability.hash,Vulnerability hash used to correlate the same vulnerability across SCA runtime and static.
custom.vulnerability.first_commit,Identifies the commit in which this vulnerability is first introduced.
custom.vulnerability.last_commit,Identifies the commit in which this vulnerability is fixed.
custom.vulnerability.owasp_top10_years,Indicates the years the vulnerability appeared in the OWASP Top 10 list of critical vulnerabilities.
custom.vulnerability.confidence,Assesses the likelihood of the vulnerability being a true positive.
custom.vulnerability.confidence_reason,"Provides the rationale behind the assigned confidence level, explaining reasons for low or high assessments."
custom.vulnerability.is_emerging,True if this vulnerability is classified as an emerging threat.
custom.vulnerability.stack,Specifies the technological stack the vulnerability was found on.
custom.vulnerability.stack.language,Specifies the language the vulnerability was found on.
custom.vulnerability.stack.ecosystem,"Indicates the package management ecosystem or source registry from which the vulnerable component originates. Possible values include:go,maven,npm,deb,apk,windows, and others."
custom.remediation,Groups information about the finding's remediation.
custom.remediation.codegen,Track a finding for the codegen platform.
custom.remediation.codegen.status,"Status of the fix with codegen. Valid values: generated, not_available_non_default_branch, not_available_unsupported_tool, not_available_unsupported_rule, not_available_confidence_low, not_available_disabled, not_available_git_provider_not_supported, not_available_confidence_too_low, error."
custom.remediation.codegen.id,String that provides track the remediation in the codegen backend.
custom.remediation.is_available,"True if a remediation is currently available for this finding, false otherwise."
custom.remediation.description,Remediation description.
custom.remediation.recommended_type,"Indicates the recommended remediation type for this finding, such as applying a code change, upgrading a package, or upgrading the host image version."
custom.remediation.recommended,The recommended remediation.
custom.remediation.package,Groups remediation package information.
custom.remediation.package.latest_no_critical,Indicates a remediation (if present) that will suggest the latest version of the package that has no critical vulnerabilities (using their base score).
custom.remediation.package.latest_no_critical.fixed_advisories,A list containing all the advisories that will be fixed if this remediation is applied.
custom.remediation.package.latest_no_critical.fixed_advisories.id,"Contains each advisory ID, that identifies one particular advisory, that will be fixed if this remediation is applied."
custom.remediation.package.latest_no_critical.fixed_advisories.base_severity,The base severity of the advisory that will be fixed by this remediation.
custom.remediation.package.latest_no_critical.new_advisories,"A list containing all the advisories that will appear if this remediation is applied (if any), that were not present in the current version."
custom.remediation.package.latest_no_critical.remaining_advisories,A list containing all the advisories that remain unfixed (if any) if this remediation is applied.
custom.remediation.package.latest_no_critical.name,The recommmended package name that fixes this particular finding.
custom.remediation.package.latest_no_critical.original_name,The original name of the recommmended package that fixes this particular finding.
custom.remediation.package.latest_no_critical.version,The recommmended package version that fixes this particular finding.
custom.remediation.package.closest_no_critical,Indicates a remediation (if present) that will suggest the closest version (to the current one) of the package that has no critical vulnerabilities (using their base score).
custom.remediation.package.latest_no_vulnerabilities,Indicates a remediation (if present) that will suggest the latest version of the package that has no vulnerability.
custom.remediation.package.closest_no_vulnerabilities,Indicates a remediation (if present) that will suggest the closest version (to the current one) of the package that has no vulnerability.
custom.remediation.package.base,-
custom.remediation.root_package,Groups remediation root package information.
custom.remediation.host_image,Indicates a remediation (if present) that will suggest the latest version of a host image that may remediate the vulnerability.
custom.remediation.host_image.latest_major,Contains information about the latest Amazon Machine Image that may remediate the vulnerability.
custom.remediation.host_image.latest_major.name,"Indicates the name of the latest Amazon Machine Image (AMI), such as ""ami-12345678"" that may remediate the vulnerability."
custom.remediation.container_image,Indicates a remediation (if present) that will suggest a newer version of a container image that may remediate the vulnerability.
custom.remediation.container_image.closest_no_vulnerabilities,-
custom.remediation.container_image.closest_no_vulnerabilities.registry_url,-
custom.remediation.container_image.closest_no_vulnerabilities.name,-
custom.remediation.container_image.closest_no_vulnerabilities.tag,-
custom.remediation.code_update,-
custom.remediation.code_update.edits,Lists the code changes required to remediate the finding.
custom.remediation.code_update.edits.type,The nature of the code change.
custom.remediation.code_update.edits.line_start,The line where the code change starts.
custom.remediation.code_update.edits.column_start,The column where the code change starts.
custom.remediation.code_update.edits.line_end,The line where the code change ends.
custom.remediation.code_update.edits.column_end,The column where the code change ends.
custom.remediation.code_update.edits.content,The contents of the code change.
custom.remediation.microsoft_kb,Details a remediation strategy using a Microsoft Knowledge Base article.
custom.remediation.microsoft_kb.closest_fix_advisory,Specifies the closest patch available to address the current advisory based on your system's last installed update.
custom.remediation.microsoft_kb.closest_fix_advisory.article,Identifies the article name for the closest patch.
custom.compliance,"The compliance namespace contains information specific to compliance findings. For example compliance rule, or evaluation (pass/fail)."
custom.compliance.evaluation,Cloud misconfigurations can fail (the resource is misconfigured) or pass (the resource isn't).
custom.compliance.frameworks,Lists the compliance frameworks mapped to this finding.
custom.compliance.framework_requirements,Lists the requirements within the compliance framework that this finding relates to.
custom.compliance.framework_requirement_controls,Lists the controls within the framework requirement that this finding maps to.
,"The following namespaces contains information about the resource/entity affected by a security finding. This includes identifier, type, name, and metadata that help identify and understand the impacted resource."
custom.cloud_resource,Groups attributes identifying the cloud resource affected by the finding.
custom.cloud_resource.tags,Lists tags applied to the cloud resource. Those tags are also duplicated in the root-level tag item.
custom.cloud_resource.category,The category the resource type belongs to.
custom.cloud_resource.key,The Canonical Cloud Resource Identifier (CCRID).
custom.cloud_resource.cloud_provider_url,The link to the respective cloud provider.
custom.cloud_resource.cloud_provider,"Indicates the cloud provider hosting the resource. Valid values: aws, azure, gcp."
custom.cloud_resource.configuration,"The configuration of the cloud resource, as returned by the cloud provider."
custom.cloud_resource.account,"Cloud account or equivalent that owns the cloud resource (for example, AWS account, Azure subscription, GCP project, OCI tenancy)."
custom.cloud_resource.display_name,The display name of the resource.
custom.cloud_resource.region,The cloud region where the resource belongs to.
custom.cloud_resource.public_accessibility_paths,"Describes the network paths through which the resource is accessible from the public internet, for example via public endpoints, gateways, or load balancers."
custom.cloud_resource.public_port_ranges,List of port ranges on the resource that are exposed to the public internet.
custom.cloud_resource.public_port_ranges.from_port,The starting port number of the exposed range.
custom.cloud_resource.public_port_ranges.to_port,The ending port number of the exposed range.
custom.iac_resource,Groups attributes identifying the Infrastructure as Code (IaC) resource related to the finding.
custom.iac_resource.provider,"Indicates the IaC (Infrastructure as Code) provider on which the resource is. For example platform Terraform could have ""aws"", ""gcp"" or ""azure"" as a provider. Some iac platform (for example Kubernetes, Dockerfile) don't have a provider."
custom.iac_resource.platform,"Indicates which IaC (Infrastructure as Code) platform the vulnerability was found on (for example `terraform`, `kubernetes`)."
custom.k8s,Kubernetes fields for findings generated against Kubenertes resources.
custom.k8s.cluster_id,The Kubernetes cluster id.
custom.host,Contains host information.
custom.host.name,Host name.
custom.host.key,The Canonical Cloud Resource Identifier (CCRID).
custom.host.cloud_provider,The cloud provider the host belongs to.
custom.host.image,"The name of the host image used to build the host, for example ""ami-1234""."
custom.host.os,Groups attributes of the operating system running on the host.
custom.host.os.name,The host OS name.
custom.host.os.version,The host OS version.
custom.service,-
custom.service.name,The name of the service where this finding was detected.
custom.service.git_commit_sha,"Git commit SHA of the latest commit where this finding is detected for the service, available only when Source Code Integration is configured:."
custom.service.git_repository_url,"URL of the Git repository for the service associated with this finding, available only when Source Code Integration is configured:."
custom.container_image,-
custom.container_image.registries,Indicates the container registry where the image is stored or from which it was pulled.
custom.container_image.repository,Specifies the repository of the container image.
custom.container_image.repo_digests,"Contains the repository digests of the container image, where this finding was detected."
custom.container_image.git_repository_url,"URL of the Git repository for the code used to build the container image associated with this finding, available only when Source Code Integration is configured:."
custom.container_image.oses,"Today, we group container images by name, hence they may have several OS."
custom.container_image.oses.name,The OS name.
custom.container_image.oses.version,The OS version.
custom.container_image.architectures,"Today, we group container images by name, hence they may have several architectures."
custom.container_image.image_layer_digests,-
custom.container_image.image_layer_diff_ids,-
custom.container_image.name,The full name of the container image.
custom.container_image.tags,"It represents the tag part of the container image name, for example ""latest"" or ""1.2.3""."
custom.git,"Contains Git metadata linking a finding to source code context. It contains information about the repository, branch, commit, author, and committer."
custom.git.repository_id,The normalized id of the Git repository.
custom.git.repository_url,The Git repository URL related to the current finding.
custom.git.repository_visibility,"Indicates the visibility of the repository. Valid values: public, private, not_detected. Used to modify severity and assist in triage for secrets detections (publicly exposed secrets are more severe than private secrets)."
custom.git.branch,The name of the Git branch related to the current finding.
custom.git.default_branch,Contains the default branch defined for Git repository to which the current finding is related.
custom.git.is_default_branch,True the current branch is the default branch for the repository.
custom.git.sha,Contains the Git commit unique ID usually called SHA.
custom.git.author,Details about the author of the commit.
custom.git.author.name,The name of the commit author.
custom.git.author.email,The email address of the commit author.
custom.git.author.authored_at,The date when the original changes were made.
custom.git.committer,Groups details about the committer.
custom.git.committer.name,The name of the committer.
custom.git.committer.email,The email address of the committer.
custom.git.committer.committed_at,"The date when the changes were last significantly modified, for example, during a rebase or amend operation."
custom.git.codeowners,"Includes codeowner teams extracted from an SCM provider's CODEOWNERS file (for example, GitHub)."
custom.code_location,Groups attributes pinpointing the specific file and line numbers where the finding is located.
