Location (v2),Description
custom.severity_details.adjusted.score,Adjusted numeric score derived from Datadog internal scoring and aligned with the CVSS scale.
custom.severity_details.adjusted.vector,Adjusted CVSS vector string that reflects contextual modifications.
custom.workflow,Contains all mutable information related to the management of a finding after it was detected. Includes fields that can be updated manually through the UI or automatically through automation pipelines.
custom.workflow.triage,Contains assignment and status information. Assignment may be synchronized with case or Jira information.
custom.workflow.triage.assignee,Contains the user assigned to this finding.
custom.workflow.triage.assignee.name,Display name of the assigned user.
custom.workflow.triage.assignee.id,Unique identifier for the assigned user in UUID format.
custom.workflow.triage.assignee.updated_at,Timestamp in milliseconds (UTC) when the assignee was last modified.
custom.workflow.triage.assignee.updated_by,Contains the user who last modified the assignee.
custom.workflow.triage.assignee.updated_by.id,Unique identifier in UUID format for the user who last modified the assignee.
custom.workflow.triage.assignee.updated_by.name,Display name of the user who last modified the assignee.
custom.workflow.triage.time_to_acknowledge_seconds,Time in seconds between when the finding was first detected and the first manual triage action.
custom.workflow.triage.time_to_resolution_seconds,Time in seconds between when the finding was first detected and when it was resolved.
custom.workflow.auto_closed_at,Timestamp in milliseconds (UTC) when the finding was automatically closed by the system.
custom.workflow.due_date,Contains the due date rule applied to this finding.
custom.workflow.due_date.due_at,Timestamp in milliseconds (UTC) when the finding must be resolved.
custom.workflow.due_date.is_overdue,True if the due date has been reached; false otherwise.
custom.workflow.due_date.rule_id,Unique identifier for the due date rule applied to this finding.
custom.workflow.mute,Contains muting information and metadata.
custom.workflow.mute.is_muted,True if the finding is muted; false if it is active.
custom.workflow.mute.reason,"Reason provided for muting the finding. Valid values: `none`, `no_pending_fix`, `human_error`, `no_longer_accepted_risk`, `other`, `pending_fix`, `false_positive`, `accepted_risk`, `no_fix`, `duplicate`, `risk_accepted`."
custom.workflow.mute.description,Free-text explanation for why the finding was muted.
custom.workflow.mute.expire_at,"Timestamp in milliseconds (UTC) when the mute expires. If not set, the mute is permanent."
custom.workflow.mute.is_muted_by_rule,Indicates if the finding is muted by an automation rule. If true, the relevant automation rule is referenced in the workflow.automation section.
custom.workflow.mute.rule_id,Unique identifier for the automation rule that muted this finding. Only set when `is_muted_by_rule` is true.
custom.workflow.mute.rule_name,Human-readable name of the automation rule that muted this finding. Only set when `is_muted_by_rule` is true.
custom.workflow.mute.muted_at,Timestamp in milliseconds (UTC) when the finding was muted.
custom.workflow.mute.muted_by,User who muted the finding.
custom.workflow.mute.muted_by.id,Unique identifier in UUID format for the user who muted the finding.
custom.workflow.mute.muted_by.name,Display name of the user who muted the finding.
custom.workflow.automations,Contains automation rules applying to the finding.
custom.workflow.automations.rule_id,Unique identifier for the automation rule.
custom.workflow.automations.rule_type,"Type of the automation rule applying to the finding. Valid values: `mute`, `due_date`, `security_inbox`."
custom.workflow.automations.rule_name,Human-readable name of the automation rule applying to the finding.
custom.workflow.integrations,"Contains integrations like Jira, Case Management, or ServiceNow used to triage and remediate the finding."
custom.workflow.integrations.cases,Contains an array of cases attached to the finding.
custom.workflow.integrations.cases.id,Unique identifier of the case in UUID format.
custom.workflow.integrations.cases.key,Human-readable identifier for the case in the format `PROJECT-NUMBER` (for example, `CSMINV-66`).
custom.workflow.integrations.cases.title,Title of the case.
custom.workflow.integrations.cases.status,Status of the case.
custom.workflow.integrations.cases.assignee,Contains the user assigned to the case.
custom.workflow.integrations.cases.assignee.id,Unique identifier of the assigned user in UUID format.
custom.workflow.integrations.cases.assignee.name,Display name of the assigned user.
custom.workflow.integrations.cases.jira_issue,Contains the Jira issue attached to the case.
custom.workflow.integrations.cases.jira_issue.key,Jira issue identifier in the format `PROJECT-NUMBER` (for example, `CSMSEC-103991`).
custom.workflow.integrations.cases.jira_issue.url,Full URL to the Jira issue.
custom.workflow.integrations.cases.jira_issue.status,Current status of the Jira issue.
custom.workflow.integrations.cases.created_at,Timestamp in milliseconds (UTC) when the case was created.
custom.workflow.integrations.cases.created_by,User who created the case.
custom.workflow.integrations.cases.created_by.id,Unique identifier in UUID format of the user who created the case.
custom.workflow.integrations.cases.created_by.name,Display name of the user who created the case.
custom.workflow.integrations.cases.updated_at,Timestamp in milliseconds (UTC) when the case was last updated.
custom.workflow.integrations.cases.updated_by,User who last updated the case.
custom.workflow.integrations.cases.updated_by.id,Unique identifier in UUID format of the user who last updated the case.
custom.workflow.integrations.cases.updated_by.name,Display name of the user who last updated the case.
custom.workflow.integrations.jira,List of Jira issue keys attached to this finding in the format `PROJECT-NUMBER` (for example, `PROJ-123`).
custom.workflow.integrations.pull_requests,List of pull requests used to remediate this finding.
custom.workflow.integrations.pull_requests.created_by,User who created the pull request.
custom.workflow.integrations.pull_requests.created_by.id,Unique identifier in UUID format of the user who created the pull request.
custom.workflow.integrations.pull_requests.created_by.name,Display name of the user who created the pull request.
custom.workflow.integrations.pull_requests.host_name,Domain name of the source control system hosting the pull request.
custom.workflow.integrations.pull_requests.organization_name,Name of the organization or group in the source control system.
custom.workflow.integrations.pull_requests.repository_name,Name of the repository containing the pull request.
custom.workflow.integrations.pull_requests.url,Full URL to the pull request in the source control system.
custom.risk,Groups risk-related attributes for the finding. Each key must have a matching key in the `risk_details` namespace.
custom.risk.has_sensitive_data,True if the finding has access to a resource that contains sensitive data; false otherwise.
custom.risk.is_function_reachable,True if the vulnerable function may be executed; false otherwise.
custom.risk.is_exposed_to_attacks,True if attacks have already been detected on this resource; false otherwise.
custom.risk.has_privileged_access,True if the finding's resource is running with elevated privileges or has the ability to assume a privileged role; false otherwise.
custom.risk.is_production,True if the finding's resource is running in production; false otherwise.
custom.risk.is_publicly_accessible,True if the finding's resource is publicly accessible; false otherwise.
custom.risk.has_exploit_available,True if known exploits exist for this finding; false otherwise.
custom.risk.has_high_exploitability_chance,True if the EPSS (Exploit Prediction Scoring System) score is above 1%; false otherwise.
custom.risk.is_tainted_from_request_url,True if the final URL contains tainted parts originating from the request URL; false otherwise.
custom.risk.is_tainted_from_query_string,True if the problematic string contains elements derived from an HTTP query string; false otherwise.
custom.risk.is_tainted_from_database,True if the string is tainted due to originating from an untrusted database source; false otherwise.
custom.risk.is_using_sha1,True if SHA1 is used in a weak hash; false otherwise.
custom.risk_details,Groups contextual risk factors that help assess the potential impact of a finding. These fields describe characteristics like exposure, sensitivity, and signs of active exploitation.
custom.risk_details.has_sensitive_data,Groups evidence and indicators about whether the affected resource has sensitive data.
custom.risk_details.has_sensitive_data.impact_cvss,"Describes how sensitive data presence changes the CVSS score. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.has_sensitive_data.value,Same as `risk.has_sensitive_data`.
custom.risk_details.has_sensitive_data.evidence,Contains evidence supporting the presence of sensitive data.
custom.risk_details.has_sensitive_data.evidence.sds_id,Identifier of a sensitive data entry discovered by Datadog Sensitive Data Scanner.
custom.risk_details.is_function_reachable,Groups evidence and indicators about whether the vulnerable function or module is used in the code.
custom.risk_details.is_function_reachable.impact_cvss,"Describes how function reachability changes the CVSS risk assessment. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.is_function_reachable.value,True if the function is reachable; false otherwise.
custom.risk_details.is_function_reachable.evidence,Contains the evidence used to determine whether the function is reachable.
custom.risk_details.is_function_reachable.evidence.locations,Array of code locations where the function is called.
custom.risk_details.is_exposed_to_attacks,Groups evidence and indicators about whether the service where the finding was detected is exposed to attacks.
custom.risk_details.is_exposed_to_attacks.impact_cvss,"Describes how the resource's exposure affects the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.is_exposed_to_attacks.value,Same as `risk.is_exposed_to_attacks`.
custom.risk_details.is_exposed_to_attacks.evidence,Contains evidence for the presence of attacks.
custom.risk_details.is_exposed_to_attacks.evidence.trace_example,Example of a trace with attacks detected on the finding's resource.
custom.risk_details.is_exposed_to_attacks.evidence.trace_query,Query used to find traces with attacks related to the finding's resource.
custom.risk_details.is_exposed_to_attacks.evidence.attacks_details,Contains details about one of the detected attacks.
custom.risk_details.has_privileged_access,Groups evidence and indicators about whether the resource has privileged access.
custom.risk_details.has_privileged_access.impact_cvss,"Describes how privileged access changes the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.has_privileged_access.value,True if the resource associated with the finding has privileged access; false otherwise.
custom.risk_details.has_privileged_access.evidence,Contains evidence showing proof of privileged access.
custom.risk_details.has_privileged_access.evidence.resource_key,Canonical Cloud Resource Identifier with proof of privileged access.
custom.risk_details.is_production,Groups evidence and indicators about whether the resource associated with the finding is running in a production environment.
custom.risk_details.is_production.impact_cvss,"Describes how production environment status affects the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.is_production.value,Same as `risk.is_production`.
custom.risk_details.is_production.evidence,Contains the `env` tag value that determines if the resource is in production.
custom.risk_details.is_publicly_accessible,Groups information about whether the affected resource is accessible from the public internet.
custom.risk_details.is_publicly_accessible.impact_cvss,"Describes how public accessibility affects the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.is_publicly_accessible.value,Same as `risk.is_publicly_accessible`.
custom.risk_details.is_publicly_accessible.evidence,Contains evidence showing proof of access from the internet.
custom.risk_details.is_publicly_accessible.evidence.resource_key,Canonical Cloud Resource Identifier of the resource accessible from the internet.
custom.risk_details.has_exploit_available,Groups information about whether a known exploit exists for this finding advisory.
custom.risk_details.has_exploit_available.impact_cvss,"Describes how the availability of known exploits changes the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.has_exploit_available.value,True if known exploits exist for this finding; false otherwise.
custom.risk_details.has_exploit_available.evidence,Contains evidence about exploit availability.
custom.risk_details.has_exploit_available.evidence.type,"Type of evidence. Valid values: `production_ready`, `poc`, `unavailable`."
custom.risk_details.has_exploit_available.evidence.exploit_urls,Lists exploit URLs associated with the finding.
custom.risk_details.has_exploit_available.evidence.exploit_sources,Lists exploit sources associated with the finding (for example, NIST, CISA, Exploit-DB).
custom.risk_details.has_high_exploitability_chance,Groups evidence and indicators about whether the vulnerability is likely to be exploited based on EPSS (Exploit Prediction Scoring System).
custom.risk_details.has_high_exploitability_chance.impact_cvss,"Describes how high exploitability chance affects the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.has_high_exploitability_chance.value,True if the EPSS score is above 1%; false otherwise.
custom.risk_details.has_high_exploitability_chance.evidence,Contains evidence of the EPSS score.
custom.risk_details.has_high_exploitability_chance.evidence.epss_score,EPSS score as a percentage representing the chance of exploitation.
custom.risk_details.has_high_exploitability_chance.evidence.epss_severity,"EPSS score severity level. Valid values: `Critical`, `High`, `Medium`, `Low`."
custom.risk_details.is_tainted_from_request_url,Groups information about whether the tainted parts originating from the request URL.
custom.risk_details.is_tainted_from_request_url.impact_cvss,"Describes how request URL tainting changes the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.is_tainted_from_request_url.value,True if the final URL contains tainted parts originating from the request URL; false otherwise.
custom.risk_details.is_tainted_from_query_string,Groups information about whether the tainted parts originating from a query string.
custom.risk_details.is_tainted_from_query_string.impact_cvss,"Describes how query string tainting changes the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.is_tainted_from_query_string.value,True if the string contains elements derived from an HTTP query string; false otherwise.
custom.risk_details.is_tainted_from_database,Groups information about whether tainted parts originate from a database.
custom.risk_details.is_tainted_from_database.impact_cvss,"Describes how database tainting changes the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.is_tainted_from_database.value,True if the string is tainted due to originating from an untrusted database source; false otherwise.
custom.risk_details.is_using_sha1,Groups information about whether SHA1 is used in a weak hash.
custom.risk_details.is_using_sha1.impact_cvss,"Describes how SHA1 usage changes the CVSS scoring. Valid values: `riskier`, `neutral`, `safer`, `unknown`."
custom.risk_details.is_using_sha1.value,True if SHA1 is used in a weak hash; false otherwise.
custom.risk_details.has_high_exploitability_chance.evidence.threshold,Minimum EPSS score required for a vulnerability to be considered as having a high exploitability chance.
custom.rule,Describes how to discover a vulnerability. Vulnerability findings with rules mean the vulnerability was detected in source code or running code. Rules are also used for non-vulnerability findings such as misconfigurations or API security.
custom.rule.type,Type of the rule that generated the finding.
custom.rule.name,Name of the rule that generated the finding.
custom.rule.id,Identifier of the rule that generated the finding.
custom.rule.version,Version of the rule that generated the finding.
custom.rule.default_rule_id,Default rule identifier of the rule. Custom rules will not have default rule identifiers.
custom.advisory,Ties a vulnerability to a set of specific software versions. Vulnerability findings with advisories mean a vulnerable version of the software was detected (typically through SBOMs).
custom.advisory.id,Internal identifier for the advisory.
custom.advisory.cve,Primary globally recognized identifier for a security vulnerability, following the `CVE-YYYY-NNNN` format.
custom.advisory.aliases,Contains additional identifiers referring to the same vulnerability, created by other entities.
custom.advisory.published_at,Timestamp in milliseconds (UTC) when the advisory was published.
custom.advisory.modified_at,Timestamp in milliseconds (UTC) when the advisory was last updated.
custom.advisory.summary,Short summary of the advisory.
custom.advisory.type,"Specifies the type of the advisory. Valid values: `component_with_known_vulnerability`, `unmaintained`, `end_of_life`, `dangerous_workflows`, `risky_license`, `malicious_package`."
custom.vulnerability,Contains information specific to vulnerabilities.
custom.vulnerability.cwes,CWE (Common Weakness Enumeration) identifier associated with this vulnerability. Each entry must use the `CWE-<id>` format (for example, `CWE-416`).
custom.vulnerability.hash,Vulnerability hash used to correlate the same vulnerability across SCA (Software Composition Analysis) runtime and static analysis.
custom.vulnerability.first_commit,Identifies the commit in which this vulnerability was first introduced.
custom.vulnerability.last_commit,Identifies the commit in which this vulnerability was fixed.
custom.vulnerability.owasp_top10_years,Indicates the years the vulnerability appeared in the OWASP Top 10 list of critical vulnerabilities.
custom.vulnerability.confidence,Assesses the likelihood of the vulnerability being a true positive.
custom.vulnerability.confidence_reason,Provides the rationale behind the assigned confidence level.
custom.vulnerability.is_emerging,True if this vulnerability is classified as an emerging threat; false otherwise.
custom.vulnerability.stack,Specifies the technological stack where the vulnerability was found.
custom.vulnerability.stack.language,Specifies the language where the vulnerability was found.
custom.vulnerability.stack.ecosystem,Indicates the package management ecosystem or source registry from which the vulnerable component originates.
custom.remediation,Groups information about the finding's remediation.
custom.remediation.codegen,Tracks finding status for the code generation platform.
custom.remediation.codegen.status,"Status of the automated fix generation. Valid values: `generated`, `not_available_non_default_branch`, `not_available_unsupported_tool`, `not_available_unsupported_rule`, `not_available_confidence_low`, `not_available_disabled`, `not_available_git_provider_not_supported`, `not_available_confidence_too_low`, `error`."
custom.remediation.codegen.id,Identifier used to track the remediation in the code generation backend.
custom.remediation.is_available,True if a remediation is currently available for this finding; false otherwise.
custom.remediation.description,Description of the remediation.
custom.remediation.recommended_type,Indicates the recommended remediation type for this finding.
custom.remediation.recommended,Contains the recommended remediation.
custom.remediation.package,Groups remediation package information.
custom.remediation.package.latest_no_critical,Contains remediation suggesting the latest package version with no critical vulnerabilities (based on base score).
custom.remediation.package.latest_no_critical.fixed_advisories,List of advisories that will be fixed if this remediation is applied.
custom.remediation.package.latest_no_critical.fixed_advisories.id,Advisory identifier that will be fixed if this remediation is applied.
custom.remediation.package.latest_no_critical.fixed_advisories.base_severity,Base severity of the advisory that will be fixed by this remediation.
custom.remediation.package.latest_no_critical.new_advisories,List of advisories that will appear if this remediation is applied.
custom.remediation.package.latest_no_critical.remaining_advisories,List of advisories that remain unfixed if this remediation is applied.
custom.remediation.package.latest_no_critical.name,Recommended package name that fixes this finding.
custom.remediation.package.latest_no_critical.original_name,Original name of the recommended package that fixes this finding.
custom.remediation.package.latest_no_critical.version,Recommended package version that fixes this finding.
custom.remediation.package.closest_no_critical,Contains remediation suggesting the closest package version with no critical vulnerabilities (based on base score).
custom.remediation.package.latest_no_vulnerabilities,Contains remediation suggesting the latest package version with no vulnerabilities.
custom.remediation.package.closest_no_vulnerabilities,Contains remediation suggesting the closest package version with no vulnerabilities.
custom.remediation.package.base,-
custom.remediation.root_package,Groups remediation root package information.
custom.remediation.host_image,Contains remediation suggesting the latest host image version that may remediate the vulnerability.
custom.remediation.host_image.latest_major,Contains information about the latest Amazon Machine Image (AMI) that may remediate the vulnerability.
custom.remediation.host_image.latest_major.name,Name of the latest Amazon Machine Image (for example, `ami-12345678`) that may remediate the vulnerability.
custom.remediation.container_image,Contains remediation suggesting a newer container image version that may remediate the vulnerability.
custom.remediation.container_image.closest_no_vulnerabilities,-
custom.remediation.container_image.closest_no_vulnerabilities.registry_url,-
custom.remediation.container_image.closest_no_vulnerabilities.name,-
custom.remediation.container_image.closest_no_vulnerabilities.tag,-
custom.remediation.code_update,-
custom.remediation.code_update.edits,Lists the code changes required to remediate the finding.
custom.remediation.code_update.edits.type,Nature of the code change.
custom.remediation.code_update.edits.line_start,Line number where the code change starts.
custom.remediation.code_update.edits.column_start,Column position where the code change starts.
custom.remediation.code_update.edits.line_end,Line number where the code change ends.
custom.remediation.code_update.edits.column_end,Column position where the code change ends.
custom.remediation.code_update.edits.content,Contents of the code change.
custom.remediation.microsoft_kb,Contains remediation strategy using a Microsoft Knowledge Base (KB) article.
custom.remediation.microsoft_kb.closest_fix_advisory,Specifies the closest patch available to address the current advisory.
custom.remediation.microsoft_kb.closest_fix_advisory.article,Article name for the closest patch.
custom.compliance,Contains information specific to compliance findings, such as compliance rule or evaluation (pass/fail).
custom.compliance.evaluation,"Compliance evaluation result. Valid values: `pass` (resource is properly configured), `fail` (resource is misconfigured)."
custom.compliance.frameworks,Lists the compliance frameworks mapped to this finding.
custom.compliance.framework_requirements,Lists the requirements within the compliance framework that this finding relates to.
custom.compliance.framework_requirement_controls,Lists the controls within the framework requirement that this finding maps to.
,-
custom.cloud_resource,Groups attributes identifying the cloud resource affected by the finding.
custom.cloud_resource.tags,Lists tags applied to the cloud resource.
custom.cloud_resource.category,Category the resource type belongs to.
custom.cloud_resource.key,Canonical Cloud Resource Identifier (CCRID).
custom.cloud_resource.cloud_provider_url,Link to the resource in the cloud provider console.
custom.cloud_resource.cloud_provider,"Indicates the cloud provider hosting the resource. Valid values: `aws`, `azure`, `gcp`, `oci`."
custom.cloud_resource.configuration,Configuration of the cloud resource, as returned by the cloud provider.
custom.cloud_resource.account,Cloud account that owns the cloud resource (for example, AWS account, Azure subscription, GCP project, OCI tenancy).
custom.cloud_resource.display_name,Display name of the resource.
custom.cloud_resource.region,Cloud region where the resource is located.
custom.cloud_resource.public_accessibility_paths,Describes the network paths through which the resource is accessible from the public internet.
custom.cloud_resource.public_port_ranges,List of port ranges on the resource that are exposed to the public internet.
custom.cloud_resource.public_port_ranges.from_port,Starting port number of the exposed range.
custom.cloud_resource.public_port_ranges.to_port,Ending port number of the exposed range.
custom.iac_resource,Groups attributes identifying the Infrastructure as Code (IaC) resource related to the finding.
custom.iac_resource.provider,Indicates the IaC (Infrastructure as Code) provider where the resource is defined (for example, `aws`, `gcp`, `azure`).
custom.iac_resource.platform,Indicates which IaC (Infrastructure as Code) platform the vulnerability was found on (for example, `terraform`, `kubernetes`).
custom.k8s,Contains Kubernetes fields for findings generated against Kubernetes resources.
custom.k8s.cluster_id,Kubernetes cluster identifier.
custom.host,Contains host information.
custom.host.name,Host name.
custom.host.key,Canonical Cloud Resource Identifier (CCRID).
custom.host.cloud_provider,Cloud provider the host belongs to.
custom.host.image,Name of the host image used to build the host (for example, `ami-1234`).
custom.host.os,Groups attributes of the operating system running on the host.
custom.host.os.name,Host operating system name.
custom.host.os.version,Host operating system version.
custom.service,-
custom.service.name,Name of the service where this finding was detected.
custom.service.git_commit_sha,Git commit SHA of the latest commit where this finding was detected for the service. Available only when Source Code Integration is configured.
custom.service.git_repository_url,URL of the Git repository for the service associated with this finding. Available only when Source Code Integration is configured.
custom.container_image,-
custom.container_image.registries,Indicates the container registry where the image is stored or from which it was pulled.
custom.container_image.repository,Repository of the container image.
custom.container_image.repo_digests,Repository digests of the container image where this finding was detected.
custom.container_image.git_repository_url,URL of the Git repository for the code used to build the container image. Available only when Source Code Integration is configured.
custom.container_image.oses,Operating systems associated with the container image.
custom.container_image.oses.name,Operating system name.
custom.container_image.oses.version,Operating system version.
custom.container_image.architectures,Architectures associated with the container image.
custom.container_image.image_layer_digests,-
custom.container_image.image_layer_diff_ids,-
custom.container_image.name,Full name of the container image.
custom.container_image.tags,Tag part of the container image name (for example, `latest` or `1.2.3`).
custom.git,Contains Git metadata linking a finding to source code context. Includes information about the repository, branch, commit, author, and committer.
custom.git.repository_id,Normalized identifier of the Git repository.
custom.git.repository_url,Git repository URL related to the finding.
custom.git.repository_visibility,"Indicates the visibility of the repository. Valid values: `public`, `private`, `not_detected`."
custom.git.branch,Name of the Git branch related to the finding.
custom.git.default_branch,Default branch defined for the Git repository.
custom.git.is_default_branch,True if the current branch is the default branch for the repository; false otherwise.
custom.git.sha,Git commit identifier (SHA).
custom.git.author,Contains details about the author of the commit.
custom.git.author.name,Name of the commit author.
custom.git.author.email,Email address of the commit author.
custom.git.author.authored_at,Timestamp in milliseconds (UTC) when the original changes were made.
custom.git.committer,Contains details about the committer.
custom.git.committer.name,Name of the committer.
custom.git.committer.email,Email address of the committer.
custom.git.committer.committed_at,Timestamp in milliseconds (UTC) when the changes were last significantly modified (for example, during a rebase or amend operation).
custom.git.codeowners,Includes code owner teams extracted from the SCM (Source Control Management) provider's CODEOWNERS file (for example, GitHub).
custom.code_location,Groups attributes pinpointing the specific file and line numbers where the finding is located.
custom.code_location.filename,Relative path to the file in the repository (for example, `src/main/app.js`).
custom.code_location.line_start,First line number of the finding's code block.
custom.code_location.column_start,First column position of the finding's code block.
custom.code_location.line_end,Last line number of the finding's code block.
custom.code_location.column_end,Last column position of the finding's code block.
custom.code_location.is_test_file,True if the code file is a test file; false otherwise.
custom.code_location.url,URL to view the file online (for example, in GitHub), highlighting the code location.
custom.code_location.symbol,Symbol that was found to be reachable.
custom.api_endpoint,Contains the HTTP endpoint representation.
custom.api_endpoint.operation_name,Name of the entry point into a service (for example, `http.request`, `grpc.server`).
custom.api_endpoint.path,Relative path of the endpoint.
custom.api_endpoint.method,Method of the endpoint (HTTP verb or gRPC method).
custom.api_endpoint.resource_name,Internal identification of the endpoint in the format `{method} {path}`.
